GroupName,grouped_text
Concealing EES Failures,"In presentations to the investing public, Lay, Skilling, Causey, and others touted EES as a major reason for past and projected increases in the value of Enron's stock.  However, defendants and others were warned of major problems at EES in early 2001.  For example, on January 22, 2001, Lay met with several Enron executives to discuss the problem of uncollectible receivables of EES in the amount of $500 million.  Lay and others engaged in a fraudulent scheme to hide the uncollectible receivables by transferring them to ENA.  The concealment of EES losses in this manner materially affected EES' reported operating results. In the Spring of 2001, defendants and others were warned by EES management that EES was in extremely bad shape, was unlikely to meet its year end target of $225 million in income before interest and taxes (""IBIT""), and that EES would require at least a year before becoming truly profitable.  Enron hid the magnitude of EES' business failure from the investing public at the close of the first quarter 2001 by moving large portions of EES' business - which Lay, Skilling, Causey, and others knew at the time otherwise would have to report hundreds of millions of dollars in losses - into Wholesale, which was the Enron business segment housing most of the company's wholesale energy trading operations and income.  As Lay, Skilling, Causey, and others knew, Wholesale would have ample earnings to absorb the losses that, in fact, were attributable to EES while at the same time continuing to meet Enron's budget targets. Lay, Skilling, Causey, and others falsely explained to the public that the change in segment reporting was solely a means to improve efficiency.  As detailed below, defendants also falsely stated publicly that EES was continuing to perform profitably and as expected, despite their knowledge of the hidden losses. EES-related losses recorded by ENA materially affected Enron and Wholesale's first quarter 2001 operating results.  Had EES properly taken the losses, EES' IBIT for the first quarter of 2001 would have decreased from a positive $40 million to a negative $694 million and would have likely caused Enron to miss its highly touted estimated IBIT of $225 million."
Promoting EBS to Manufacture Earnings and Concealing Failure of EBS,"In 1999, technology stocks, traded at a premium compared to stocks of more traditional businesses.  To take advantage of this market condition, Skilling and others sought to artificially pump up Enron's stock price by heavily promoting EBS, a costly telecommunications business that ultimately failed. "
"""Project Grayhawk""","Enron scheduled a high profile presentation to analysts about its new EBS business for January 20, 2000.  Knowing the presentation would cause an immediate increase in Enron's stock price, Skilling, Causey, and others constructed and approved a scheme to allow Enron to record and report approximately $85 million as a result of the spike in Enron's stock price as earnings from operations. The scheme required a maneuver relating to Enron's recorded earnings from a partnership interest it held in a large energy investment named JEDI.  The investment holdings of the JEDI partnership consisted, in part, of Enron stock.  When Enron's stock price rose, the value of JEDI rose.  However, in September 1999, JEDI hedged its Enron stock holdings through a transaction with Enron that fixed the value of the Enron stock held by JEDI at a set price.  As a result of this hedge, an increase in the value of Enron stock held by JEDI did not increase JEDI's income, and therefore did not generate a corresponding increase in Enron's share of JEDI's income. In anticipation of an increase in Enron's stock price from the January 20, 2000 analyst conference, however, Enron executed a series of transactions, known as ""Project Grayhawk,"" that temporarily removed the JEDI hedge to allow JEDI's income to increase if the price of Enron's stock increased.  After the price of Enron stock rose following the analyst conference, Enron and JEDI - through a new hedging arrangement - once again fixed the value of Enron stock held by JEDI, this time at a higher price. Enron removed the original hedge to enable Enron to recognize earnings brought about by the dramatic increase in Enron's stock price as a result of its January 20, 2000 analyst conference.  Skilling and others then improperly publicly reported this gain as recurring operating income in its energy business.  Skilling and others failed to disclose that the income resulted from the increase in Enron's own stock price caused by the false and misleading statements outlined below.  Skilling, Causey, and others planned and approved the scheme."
"January 20, 2000 Analyst Conference","At the January 20, 2000 analyst conference, Skilling and others knowingly made false and misleading statements about EBS.  Skilling stated, among other things, that EBS ""has already established the superior broadband delivery network""; that EBS has ""built this network . . . and we are turning on the switch""; that the critical ""network control software"" was in Enron's possession and incorporated and used in its network; and that Enron valued the business at $30 billion, which Skilling called a ""conservative"" valuation.  In Skilling's presence, EBS' co-CEO Joseph Hirko stated that EBS possessed advance network control software and that it was no ""pipe dream.""  In reality, EBS had neither the claimed broadband network in place, nor the critical proprietary network control software to run it.  The claims about EBS remained only unproven concepts and laboratory demonstrations, and Skilling was advised before the analyst conference that the network he publicly described would take years to complete and might never be realized.  In addition, the valuation of the business was inflated by billions of dollars over internal and external valuations. "
First Quarter 2000 Earnings from Enron's Own Stock,"Skilling's and others' plan to boost Enron's stock price by aggressively touting EBS, and to record earnings from that boost, succeeded.  On January 11, 2000, the date on which Enron purportedly altered the original hedge on the Enron stock in JEDI as part of Project Grayhawk, Enron stock traded at approximately $47 per share.  After the analyst conference on January 20, 2000, Enron stock rose to approximately $67 per share.  The fraudulent Project Grayhawk maneuver allowed Enron to recognize, through JEDI, approximately $85 million in earnings from the manufactured stock price.  Enron, Skilling, and others then misleadingly described these earnings in later presentations to analysts and in SEC filings as ordinary and recurring operating earnings from its energy business.  Enron, Skilling, and others did not disclose Project Grayhawk to the investing public, nor did they disclose that approximately 20 percent of the earnings of Enron's energy business for the first quarter 2000 resulted solely from an increase in Enron's own stock price."
Concealment of EBS Failure,"By late 2000, Skilling, Causey, and others knew that EBS was a struggling business that was hemorrhaging money.  However, they took steps to hide this fact and falsify EBS' financial results.  For example, during 2000, Enron structured a series of misleading, one- time financial transactions in EBS, known as Project Braveheart and Backbone Trust, that were designed to manufacture earnings and give the false impression that EBS would generate operating profits.  Even with these transactions, EBS still was facing much larger than expected losses during the first quarter of 2001.  In order to ensure that EBS did not record losses in the first quarter of 2001 that exceeded Enron's annual budgeted loss target for EBS, and in order to ensure that the quarterly budgeted loss target for the first quarter 2001 was met, Causey and others fraudulently reduced EBS' expenses for the first quarter of 2001.  They did so by shifting numerous EBS costs off EBS' books, changing the depreciable life of certain of EBS' assets from five to ten years, and halving the bonus accrual for EBS employees. "
Manufacturing and Manipulating Reported Earnings through Improper Use of Reserves Third Quarter 2000 through Third Quarter 2001,"During 2000 and 2001, the profitability of Enron's energy trading business, primarily based in Wholesale, dramatically increased for various reasons, including rapidly rising energy prices in the western United States, especially in California.  If disclosed to the public, this sudden and large increase in trading profits, which exceeded $1 billion, would have made it apparent that Wholesale's revenues were tied to the market price of energy, meaning Enron was exposed to the risk of a decline in such prices.  This would have revealed Enron as a speculative (and therefore risky) trading company.  To conceal the extent and volatility of Enron's energy trading profits, Skilling, Causey, and others fraudulently hid hundreds of millions of dollars in trading profits in reserve accounts maintained on an internal Enron ledger called ""Schedule C."" By early 2001, these reserves contained over $1 billion in unreported earnings. Skilling, Causey, and others then fraudulently used funds in the ""Schedule C"" reserve accounts to avoid reporting large losses in other areas of Enron's business.  For example, in the first quarter of 2001, Skilling, Causey, and others improperly used ""Schedule C"" reserves to conceal from the investing public hundreds of millions of dollars in losses within Enron's EES business unit. "
Second Quarter 2000,"In mid-July 2000, weeks after the end of the second quarter 2000, Skilling, Causey and others carried out a plan to publicly report a 34 cents earnings-per-share figure in the second quarter, as opposed to the 32 cents earnings per share figure predicted by analysts. Skilling and Causey were aware that Enron's performance for this quarter, even after Enron manipulated its budget targets, did not support a 34 cents earnings-per-share figure. To achieve the fraudulent earnings-per-share figure, Skilling, Causey, and others caused a senior Enron executive to improperly release into earnings millions of dollars from a ""prudency"" reserve account in Enron's energy trading business.  This release of reserves, which had no legitimate business purpose, artificially increased the second quarter earnings-per-share figure and Enron's stock price. "
"""Prepays"" -  Use Of Disguised Loans To Fraudulently Inflate Cash Flows","Enron, aided and abetted by certain financial institutions, manipulated its financial results through a series of structured transactions, called ""prepays.""  Enron used prepays to report loans as cash flow from operating activities, rather than financing activities in its balance sheet. By using prepays as a means to increase its operating cash flow, Enron was able to match its so- called mark-to-market earnings (paper earnings based on changes in the market value of certain assets held by Enron) with operating cash flow.  Enron used this tool to convince analysts and credit rating agencies that its reported mark-to-market earnings were real, i.e., that the value of the underlying assets would ultimately be converted to cash.  In addition, Enron failed to disclose that the prepays were actually debt and failed to disclose the extent to which Enron was using prepays in its balance sheet during relevant periods.  As of April 30, 2001, Enron's undisclosed prepays totaled $3.9 billion dollars. By no later than April 2001, by virtue of informative presentations on prepays to Lay by Fastow and others, Lay was aware of the use, importance, and magnitude of prepays to create cash flow; that the prepays were undisclosed debt; and that credit agencies were not told of the magnitude of Enron's prepay obligations."
Failure To Disclose Goodwill Impairment,"In or about October 2001, Lay, Causey, and others failed to disclose the substantial impairment to the goodwill value attributable to one of its major assets, Wessex Water Services.  Goodwill is an asset created when one entity acquires another entity.  Goodwill is initially calculated as the excess of the sum of the amounts assigned to assets acquired over the amounts of liabilities assumed in an acquisition.  By August 2001, Lay, Causey, and others undertook to determine the probable impact of a new goodwill rule on Enron, because goodwill losses would need to be disclosed to the market via SEC filings in the third quarter of 2001. The new rule was Statement of Accounting Standard No. 142,  ""Goodwill and Other Intangible Assets"" (FAS 142).  FAS 142 eliminated a company's ability to amortize or reduce goodwill gradually over a period of years.  Instead, the new rule required a periodic assessment of the value of goodwill and any impairment loss. By September 2001, as Lay and Causey knew, Enron's internal accountants had determined that the amount of goodwill attributable to Wessex Water Services (""Wessex"") was approximately $700 million.  Enron possessed a direct and indirect interest in Wessex, a water utility company purchased at a high cost of $2.4 billion.  A rate cut imposed in April 2000 affected the future revenue of Wessex and made its post-acquisition value dubious at best.  By the beginning of October 2001, Enron's internal accountants determined that Wessex's goodwill was impaired and that Enron would have to disclose the impairment unless Enron was able to assert that the company would once again pursue a water growth strategy backed by Enron. Enron's internal accountants had estimated that pursuing such a strategy would require Enron to expend between $1.5 and $28 billion. Lay and Causey knew that Enron did not intend to pursue a water growth strategy and that Enron did not have the necessary capital for such a pursuit.  Lay and Causey also knew that disclosure of the impairment would be unfavorable to Enron's financial statements and might have a negative impact on Enron's precarious credit rating.  Nevertheless, on or about October 12, 2001, Lay, Causey, and others falsely claimed, including in representations to its auditors, that Enron was committed to developing a water growth strategy and failed to disclose an impairment of Wessex goodwill."
False and Misleading Representations to Investing Public,"In furtherance of the scheme to manipulate Enron's financial results and inflate its stock price, Lay, Skilling, Causey, and others participated in the presentation of knowingly false and misleading statements about Enron's financial results, the performance of its businesses, the manner in which its stock was and should be valued, and the sale of personally held Enron stock. These statements were disseminated to the investing public in conferences, employee meetings, conference calls, press releases, interviews, SEC filings, and statements to members of the media. "
First Quarter 2000 Analyst Conference Call,"On April 12, 2000, Enron held its quarterly analyst conference call to discuss its earnings for the first quarter of 2000.  Skilling and Causey were among the senior Enron managers who prepared for and participated in the call.  Skilling knowingly made false and misleading statements.  Skilling stated that Enron's Wholesale business recorded earnings of $220 million for the quarter; that those earnings were ""attributable to increased earnings from Enron's portfolio of energy-related and other investments;"" that ""this was a pretty good quarter for the energy-related investment business in contrast to the drag it was over the last year;"" and that the upswing in earnings in Wholesale was ""basically the performance of the existing asset portfolios.""  Skilling omitted to disclose that approximately $85 million of the $220 million in earnings were unrelated to the operating performance of Enron's energy business.  Rather, as Skilling knew, through ""Project Grayhawk,"" these earnings were solely attributable to a scheme to generate earnings by manufacturing an increase in Enron's own stock price."
Fourth Quarter 2000 Analyst Conference Call,"On January 22, 2001, Enron held its quarterly analyst conference call to discuss its earnings for the fourth quarter of 2000.  Skilling and Causey were among the senior Enron managers who prepared for and participated in the call.  Skilling knowingly made false and misleading statements including: ""for Enron, the situation in California had little impact on fourth quarter results.  Let me repeat that.  For Enron, the situation in California had little impact on fourth quarter results.""  He further stated that ""nothing can happen in California that would jeopardize"" Enron's earnings targets for 2001 and that California business was ""small"" for Enron.  In reality, as Skilling knew, Enron reaped huge profits in 2000 from energy trading in California and concealed hundreds of millions of dollars of those earnings in undisclosed reserve accounts for later use.  Also, by late January 2001, as Skilling knew, California utilities owed EES hundreds of millions of dollars that EES could not collect and these uncollectible receivables had been offset by large reserves concealed within Wholesale's books. In support of Enron's claims that EBS continued to be successful and a positive factor contributing to Enron's stock price, a senior Enron manager misled analysts during the call about the source of EBS' earnings in the fourth quarter of 2000.  After being directed by Skilling to answer a question about the source of EBS' earnings, the senior manager said that one-time, nonrecurring transactions such as sales of ""dark fiber"" and a ""monetization,"" or sale, of part of EBS' nascent video-on-demand venture with the Blockbuster company accounted for only ""a fairly small amount"" of EBS' earnings.  In truth, as Skilling, Causey, and others knew, the sale of projected future revenues from the Blockbuster video-on-demand venture, which Enron abandoned just two quarters later, accounted for $53 million of EBS' $63 million in fourth quarter 2000 earnings."
"January 25, 2001 Analyst Conference","Enron held its annual analyst conference in Houston on January 25, 2001.  At that conference, Skilling and others knowingly made false and misleading statements, including: (a) Skilling called all of Enron's major businesses, including EBS and EES, ""strong franchises with sustainable high earnings power,"" (b) Skilling said of EBS that ""I think we have a solid position. Our network is in place.  We have customers and specific procedures and [devices] for the marketplace,"" (c) Skilling asserted that Enron's stock, which was then trading at over $80 per share, should be valued at $126 per share, attributing $63 of that alleged stock value to EBS and EES, and (d) Skilling stated that Enron was ""not a trading business."" In reality, as Skilling knew, EBS was performing very poorly and had made little commercial progress in 2000; EBS personnel had recommended shutting down or selling EBS' network; EBS had few revenue prospects for the upcoming year; and EBS had an unsupportable cost structure that, without correction, could potentially lead to substantial losses well in excess of those Enron had publicly forecast.  Skilling also knew that EES was an unsuccessful business as well.  Its modest earnings during 2000 largely resulted from one-time sales of investments unrelated to its retail energy contracting business; its existing retail energy contracts were overvalued by hundreds of millions of dollars; and it had hundreds of millions of dollars of uncollectible receivables that Enron was concealing within Wholesale."
"March 23, 2001 Analyst Conference Call","Enron held a special analyst conference call on March 23, 2001 in an effort to dispel growing public concerns about Enron's stock, which had fallen from over $80 per share to under $60 per share in less than two months.  Skilling prepared for and participated in the call. Skilling knowingly made false and misleading statements, and omitted to disclose facts necessary to make his statements not misleading.  Among other things, he stated that ""Enron's business is in great shape"" and ""I know this is a bad stock market but Enron is in good shape.""  He stated that Enron was ""highly confident"" of its income target of $225 million for the year for EES, and that EES was seeing the ""positive effect"" of  ""the chaos that's going on out in California."" Skilling further stated that EBS ""is coming along just fine"" and that the company was ""very comfortable with the volumes and targets and the benchmarks that we set for EBS."" He said that EBS' two profit-and-loss centers, intermediation and content services, were ""growing fast"" and that EBS was not laying off employees but rather ""moving people around inside EBS"" and that this was ""very good news.""  In reality, as Skilling knew, EBS was continuing to fail.  Senior personnel at EBS had reported internally that the unit had an unsupportable cost structure and unproven revenue model.  One senior EBS executive estimated that Enron would need to write-off (that is, record as a loss) approximately half of EBS' $875 million book value.  EBS was laying off employees and Skilling had told employees based in Portland, Oregon that EBS would be centralized in Houston and jobs would be cut because of a ""total meltdown"" in the broadband industry. "
First Quarter 2001 Analyst Conference Call,"Enron held an analyst conference call to discuss its first quarter 2001 results on April 17, 2001.  Skilling and Causey were among the senior Enron managers who prepared for and participated in the call.  Skilling made false and misleading statements in the call and omitted to disclose facts necessary to make his statements not misleading. Skilling talked about continued ""big, big numbers"" in EES' energy contracting business.  He falsely explained Enron's movement of EES' energy contract portfolio into Wholesale, omitting any reference to EES' large losses or their transfer to Wholesale and stated, ""[W]e have such capability in our wholesale business that we were -- we just weren't taking advantage of that in managing our portfolio at the retail side.  And this retail portfolio has gotten so big so fast that we needed to get the best -- the best hands working risk management there."" While Enron reported modest first quarter earnings for EES of $40 million, in reality, as Skilling and Causey knew, EES was facing losses approaching one billion dollars and had concealed those losses in Wholesale. Skilling also made knowingly false and misleading statements, and omitted to disclose facts necessary to make his statements not misleading, about the success of EBS.  He stated that ""[o]ur network is now substantially complete"" and that it ""is just not the case"" that Enron was reducing staff of EBS because it was getting out of the content services business. Skilling also stressed that the reported losses in the unit were on target and ""anticipated"" and that the unit's capital expenditures were being reduced because it was ""able to get access to connectivity without having to build it.""  In reality, as Skilling knew, the cost-cutting measures at EBS were instituted because the unit was continuing to fail, and was incurring much larger than expected losses that could not be offset with projected future revenues. A senior Enron manager made further false and misleading statements about EBS in the call, including that revenues from selling portions of EBS' content business, as opposed to recurring earnings from operations, were only ""about a third"" of EBS' overall earnings and that EBS had only done ""a little bit"" of such sales in the past two quarters.  In reality, as Skilling knew, the sale of a portion of EBS' content business was the principal mechanism by which the unit had generated revenue in the last two quarters and accounted for the majority of EBS' earnings for the first quarter of 2001.  Only a very small percentage of the unit's revenues in either quarter was due to operations that could be expected to recur.  Moreover, EBS had only been able to meet its target of $35 million in losses for the first quarter of 2001 through the combined efforts of the sale of portions of its content services business and the manipulation of the accounting for many of its expenses and allocations under the supervision of Causey. "
Second Quarter 2001 Analyst Conference Call,"Enron held an analyst conference call to discuss its second quarter 2001 results on July 12, 2001.  Skilling and Causey were among the senior Enron managers who prepared for and participated in the call.  Skilling made knowingly false and misleading statements about the condition of Enron, including that Enron had a ""great quarter.""  He further stated that EES ""had an outstanding second quarter"" and was ""firmly on track to achieve our 2001 target of $225 million"" in earnings; that losses in EBS were due to ""industry conditions"" and ""dried up"" revenue opportunities; and that Enron's ""new businesses are expanding and adding to our earnings power and valuation, and we are well positioned for future growth.""  A senior Enron manager in the presence of Skilling and Causey also misled analysts about the movement of EES' losses into Wholesale, stating, ""We just took the risk management functions and combined them because we just -- we were trying to get some more efficiency out of management of the overall risk management function."" In reality, as Skilling and the manager knew, by the close of the second quarter of 2001, EBS had failed and its increased losses were because it had stopped the one-time sales of portions of its business that had previously been the only significant source of its earnings.  EES was facing hundreds of millions of dollars in concealed losses.  As a whole, Enron was less than five months from bankruptcy, and the accelerating pace of the company's decline was well known to Lay, Skilling, and Causey."
"August 14, 2001: Skilling Leaves Enron","On July 13, 2001, Skilling unexpectedly told Lay he wanted to leave Enron because he could not do anything about Enron's declining stock price.  On August 13, 2001, Skilling informed the Board that he was resigning for personal reasons.  On August 14, 2001, Enron issued a press release, with Lay's approval, that announced Skilling had resigned and stated that the resignation was for personal reasons.  Lay took the title of CEO and continued his control and oversight of Enron. On the same day, despite his knowledge of substantial problems at Enron as described above, Lay made the following false and misleading statements to securities analysts in a conference call: (a) ""there are absolutely no problems that had anything to do with Jeff's departure . . . there are no accounting issues, no trading issues, no reserve issues . . . unknown, previously unknown problems, issues . . . I can honestly say that the company is probably in the strongest and best shape . . . that it's probably ever been in"" and (b) regarding EES ""we've been doubling revenue and doubling income quarter on quarter, year on year for now about the last three years.  We expect that to continue to grow very, very strong . . .  [M]ost of us inside the company believe that the Enron Energy Services component could become as large or larger than our wholesale business within a 5 or 6 year period or so."""
